Date,Company,Industry,Close,Volume
09-07-2020 00:00,HDFCLIFE,Financial Services,585.2000122070312,2440595
10-07-2020 00:00,HDFCLIFE,Financial Services,592.5,3206846
13-07-2020 00:00,HDFCLIFE,Financial Services,600.2999877929688,2854213
14-07-2020 00:00,HDFCLIFE,Financial Services,598.4500122070312,3645874
15-07-2020 00:00,HDFCLIFE,Financial Services,594.7999877929688,2310685
16-07-2020 00:00,HDFCLIFE,Financial Services,599.8499755859375,1767540
17-07-2020 00:00,HDFCLIFE,Financial Services,614.5,2790602
20-07-2020 00:00,HDFCLIFE,Financial Services,616.4500122070312,3020859
21-07-2020 00:00,HDFCLIFE,Financial Services,627.4500122070312,8306371
22-07-2020 00:00,HDFCLIFE,Financial Services,609.6500244140625,5164659
23-07-2020 00:00,HDFCLIFE,Financial Services,622.7000122070312,2957797
24-07-2020 00:00,HDFCLIFE,Financial Services,622.4000244140625,2789551
27-07-2020 00:00,HDFCLIFE,Financial Services,633.4500122070312,3343985
28-07-2020 00:00,HDFCLIFE,Financial Services,640.5,4307089
29-07-2020 00:00,HDFCLIFE,Financial Services,637.75,2458334
30-07-2020 00:00,HDFCLIFE,Financial Services,635.0999755859375,27847314
31-07-2020 00:00,HDFCLIFE,Financial Services,627.0999755859375,3774399
03-08-2020 00:00,HDFCLIFE,Financial Services,603.0,3634400
04-08-2020 00:00,HDFCLIFE,Financial Services,614.1500244140625,2248809
05-08-2020 00:00,HDFCLIFE,Financial Services,605.0,2051992
06-08-2020 00:00,HDFCLIFE,Financial Services,606.9000244140625,2596325
07-08-2020 00:00,HDFCLIFE,Financial Services,606.9500122070312,1723752
10-08-2020 00:00,HDFCLIFE,Financial Services,608.8499755859375,2028319
11-08-2020 00:00,HDFCLIFE,Financial Services,608.75,1539043
12-08-2020 00:00,HDFCLIFE,Financial Services,608.75,3419606
13-08-2020 00:00,HDFCLIFE,Financial Services,599.75,2164005
14-08-2020 00:00,HDFCLIFE,Financial Services,587.75,3151495
17-08-2020 00:00,HDFCLIFE,Financial Services,589.0999755859375,1335395
18-08-2020 00:00,HDFCLIFE,Financial Services,597.5999755859375,2224729
19-08-2020 00:00,HDFCLIFE,Financial Services,603.4500122070312,2344923
20-08-2020 00:00,HDFCLIFE,Financial Services,595.0499877929688,1490688
21-08-2020 00:00,HDFCLIFE,Financial Services,598.0999755859375,2008763
24-08-2020 00:00,HDFCLIFE,Financial Services,598.75,1893376
25-08-2020 00:00,HDFCLIFE,Financial Services,599.7999877929688,1802567
26-08-2020 00:00,HDFCLIFE,Financial Services,592.0499877929688,2950978
27-08-2020 00:00,HDFCLIFE,Financial Services,596.0499877929688,2947058
28-08-2020 00:00,HDFCLIFE,Financial Services,589.3499755859375,3638604
31-08-2020 00:00,HDFCLIFE,Financial Services,574.7999877929688,3754563
01-09-2020 00:00,HDFCLIFE,Financial Services,579.2999877929688,3407301
02-09-2020 00:00,HDFCLIFE,Financial Services,580.8499755859375,2500786
03-09-2020 00:00,HDFCLIFE,Financial Services,582.2000122070312,1896035
04-09-2020 00:00,HDFCLIFE,Financial Services,574.6500244140625,2618737
07-09-2020 00:00,HDFCLIFE,Financial Services,591.8499755859375,3374335
08-09-2020 00:00,HDFCLIFE,Financial Services,581.8499755859375,1896544
